__run_id,__done,llm,language,problem,prompt,energy_usage_dram,energy_usage_package,energy_usage_pp0,energy_usage_pp1,cpu_usage_0,cpu_usage_1,cpu_usage_2,cpu_usage_3,cpu_usage_4,cpu_usage_5,cpu_usage_6,cpu_usage_7,cpu_usage_8,cpu_usage_9,cpu_usage_10,cpu_usage_11,memory_usage,execution_time,machine_code_size
run_13_repetition_0,DONE,Gemini,haskell,PS,EE,4657.55,37727.792,19735.917,5208.039,2.02,3.671,4.04,3.922,7.302,3.922,3.922,7.648,5.509,2.02,5.628,3.922,4744910165.333,201,"2113644
"
run_14_repetition_0,TODO,Gemini,haskell,SR,OG, , , , , , , , , , , , , , , , , , , 
run_15_repetition_0,TODO,Gemini,haskell,SR,EE, , , , , , , , , , , , , , , , , , , 
run_16_repetition_0,DONE,Claude,cpp,PS,OG,4663.033,37778.356,19767.419,5214.814,2.02,3.922,2.083,5.714,8.081,2.083,2.02,5.714,3.922,4.04,3.922,3.922,4765625002.667,201,"4021
"
run_17_repetition_0,DONE,Claude,cpp,PS,EE,4665.704,37807.461,19787.565,5217.636,8.081,4.04,4.04,4.04,2.083,4.04,2.083,4.04,4.04,4.04,4.04,4.04,4798164992.0,200,"1463
"
run_18_repetition_0,TODO,Claude,cpp,SR,OG, , , , , , , , , , , , , , , , , , , 
run_19_repetition_0,TODO,Claude,cpp,SR,EE, , , , , , , , , , , , , , , , , , , 
run_20_repetition_0,DONE,Claude,haskell,PS,OG,4671.85,37885.116,19843.625,5224.685,3.922,3.608,3.922,2.02,2.02,2.02,2.02,5.882,3.922,3.922,3.671,2.083,4740935680.0,201,"1250748
"
run_21_repetition_0,DONE,Claude,haskell,PS,EE,4675.964,37969.989,19914.517,5228.43,2.02,3.922,5.714,2.02,3.922,3.922,3.922,3.922,5.882,5.509,7.02,4.04,4749275136.0,201,"2116964
"
run_22_repetition_0,TODO,Claude,haskell,SR,OG, , , , , , , , , , , , , , , , , , , 
run_23_repetition_0,TODO,Claude,haskell,SR,EE, , , , , , , , , , , , , , , , , , , 
run_0_repetition_1,DONE,ChatGPT,cpp,PS,OG,4682.331,38067.517,19992.369,5235.156,2.02,3.922,3.922,1.961,3.922,3.922,3.922,3.922,6.25,3.922,3.535,3.608,5118100821.333,200,"4021
"
run_1_repetition_1,DONE,ChatGPT,cpp,PS,EE,4685.248,38100.239,20015.118,5238.643,8.081,2.083,3.738,4.04,2.151,4.04,4.167,4.04,4.167,4.04,4.167,6.061,4999300437.333,201,"4016
"
run_2_repetition_1,TODO,ChatGPT,cpp,SR,OG, , , , , , , , , , , , , , , , , , , 
run_3_repetition_1,TODO,ChatGPT,cpp,SR,EE, , , , , , , , , , , , , , , , , , , 
run_4_repetition_1,DONE,ChatGPT,haskell,PS,OG,4692.036,38201.509,20093.022,5245.94,2.151,6.25,6.061,2.151,2.083,4.167,2.151,2.083,4.04,2.083,4.04,3.671,4881274197.333,200,"2100846
"
run_5_repetition_1,DONE,ChatGPT,haskell,PS,EE,4696.079,38283.957,20161.812,5249.496,2.151,5.754,4.167,4.167,2.151,4.04,6.061,4.04,4.167,6.25,4.167,3.671,4850159616.0,201,"2099953
"
run_6_repetition_1,TODO,ChatGPT,haskell,SR,OG, , , , , , , , , , , , , , , , , , , 
run_7_repetition_1,TODO,ChatGPT,haskell,SR,EE, , , , , , , , , , , , , , , , , , , 
run_8_repetition_1,DONE,Gemini,cpp,PS,OG,4701.471,38332.543,20191.711,5255.921,3.922,3.687,3.922,4.04,3.922,2.02,5.114,2.083,6.061,3.922,3.922,5.714,4888722090.667,200,"4048
"
run_9_repetition_1,DONE,Gemini,cpp,PS,EE,4704.291,38363.076,20212.599,5259.238,7.843,2.02,3.922,3.922,2.02,3.922,3.922,4.04,2.02,3.922,5.882,2.02,4876830037.333,201,"1459
"
run_10_repetition_1,TODO,Gemini,cpp,SR,OG, , , , , , , , , , , , , , , , , , , 
run_11_repetition_1,TODO,Gemini,cpp,SR,EE, , , , , , , , , , , , , , , , , , , 
run_12_repetition_1,DONE,Gemini,haskell,PS,OG,4710.308,38441.664,20270.629,5265.756,6.25,4.04,4.04,4.04,4.04,2.02,4.04,4.04,3.922,2.083,2.083,2.083,4695266645.333,200,"1250748
"
run_13_repetition_1,DONE,Gemini,haskell,PS,EE,4714.411,38526.584,20339.403,5269.549,4.04,4.04,2.083,5.882,4.04,4.167,2.151,4.167,4.04,2.083,10.101,4.167,4736091477.333,201,"2113644
"
run_14_repetition_1,TODO,Gemini,haskell,SR,OG, , , , , , , , , , , , , , , , , , , 
run_15_repetition_1,TODO,Gemini,haskell,SR,EE, , , , , , , , , , , , , , , , , , , 
run_16_repetition_1,DONE,Claude,cpp,PS,OG,4720.084,38577.679,20370.793,5276.617,3.81,3.81,3.81,1.961,3.81,7.407,3.922,3.704,3.81,5.556,3.81,1.961,4756641109.333,201,"4021
"
run_17_repetition_1,DONE,Claude,cpp,PS,EE,4722.934,38608.216,20391.447,5280.216,2.151,4.04,5.882,6.061,4.167,4.167,6.452,4.04,4.167,2.083,4.04,2.151,4746517162.667,200,"1463
"
run_18_repetition_1,TODO,Claude,cpp,SR,OG, , , , , , , , , , , , , , , , , , , 
run_19_repetition_1,TODO,Claude,cpp,SR,EE, , , , , , , , , , , , , , , , , , , 
run_20_repetition_1,DONE,Claude,haskell,PS,OG,4728.915,38683.586,20446.199,5286.727,2.02,2.02,5.882,2.083,7.47,2.083,4.04,2.083,3.671,3.922,5.628,5.509,4723230037.333,200,"1250748
"
run_21_repetition_1,DONE,Claude,haskell,PS,EE,4733.064,38767.751,20516.202,5290.774,0.0,4.167,4.167,4.04,4.04,2.151,4.167,2.151,6.25,2.151,4.04,2.083,4729012224.0,201,"2116964
"
run_22_repetition_1,TODO,Claude,haskell,SR,OG, , , , , , , , , , , , , , , , , , , 
run_23_repetition_1,TODO,Claude,haskell,SR,EE, , , , , , , , , , , , , , , , , , , 
run_0_repetition_2,DONE,ChatGPT,cpp,PS,OG,4738.645,38820.87,20550.1,5297.477,4.167,4.167,2.151,4.167,3.817,4.167,2.151,5.628,8.081,2.151,2.151,4.167,4802181802.667,201,"4021
"
run_1_repetition_2,DONE,ChatGPT,cpp,PS,EE,4741.837,38855.022,20573.444,5301.015,2.083,4.04,4.04,6.061,2.083,3.671,2.083,4.04,4.04,2.083,4.04,2.02,4780135765.333,200,"4016
"
run_2_repetition_2,TODO,ChatGPT,cpp,SR,OG, , , , , , , , , , , , , , , , , , , 
run_3_repetition_2,TODO,ChatGPT,cpp,SR,EE, , , , , , , , , , , , , , , , , , , 
run_4_repetition_2,DONE,ChatGPT,haskell,PS,OG,4751.632,39022.927,20709.972,5312.847,5.882,4.04,6.25,4.04,2.083,4.04,4.04,4.04,3.922,3.922,3.922,4.04,5054220970.667,201,"2100846
"
run_5_repetition_2,DONE,ChatGPT,haskell,PS,EE,4755.867,39106.922,20779.599,5316.977,6.061,3.922,5.628,4.04,4.04,4.167,4.04,4.04,2.02,2.083,4.04,2.02,4951569749.333,200,"2099953
"
run_6_repetition_2,TODO,ChatGPT,haskell,SR,OG, , , , , , , , , , , , , , , , , , , 
run_7_repetition_2,TODO,ChatGPT,haskell,SR,EE, , , , , , , , , , , , , , , , , , , 
run_8_repetition_2,DONE,Gemini,cpp,PS,OG,4763.327,39179.952,20825.186,5329.638,4.04,4.04,4.04,4.04,4.04,5.714,2.02,5.882,3.608,0.0,3.922,5.707,4948591957.333,200,"4048
"
run_9_repetition_2,DONE,Gemini,cpp,PS,EE,4766.144,39210.495,20846.051,5333.041,3.922,2.02,3.922,3.922,2.02,8.081,3.922,3.922,3.922,3.922,1.587,3.608,4965987669.333,201,"1459
"
run_10_repetition_2,TODO,Gemini,cpp,SR,OG, , , , , , , , , , , , , , , , , , , 
run_11_repetition_2,TODO,Gemini,cpp,SR,EE, , , , , , , , , , , , , , , , , , , 
run_12_repetition_2,DONE,Gemini,haskell,PS,OG,4772.533,39290.863,20904.462,5340.525,2.083,2.02,3.922,3.75,3.922,6.061,4.04,4.04,2.083,3.922,3.922,2.02,4850873685.333,200,"1250748
"
run_13_repetition_2,DONE,Gemini,haskell,PS,EE,4776.72,39377.341,20976.947,5344.343,4.04,4.04,4.167,7.837,7.47,2.151,5.833,4.167,4.167,5.754,6.061,4.167,4872877397.333,201,"2113644
"
run_14_repetition_2,TODO,Gemini,haskell,SR,OG, , , , , , , , , , , , , , , , , , , 
run_15_repetition_2,TODO,Gemini,haskell,SR,EE, , , , , , , , , , , , , , , , , , , 
run_16_repetition_2,DONE,Claude,cpp,PS,OG,4782.892,39437.408,21015.744,5352.412,5.882,4.167,6.061,2.083,4.04,5.882,7.837,4.04,2.083,5.882,4.167,7.837,4746229077.333,200,"4021
"
run_17_repetition_2,DONE,Claude,cpp,PS,EE,4785.755,39469.907,21038.551,5355.842,3.922,3.922,6.25,2.02,2.02,3.922,3.608,5.714,2.02,3.922,4.04,3.922,4772521301.333,201,"1463
"
run_18_repetition_2,TODO,Claude,cpp,SR,OG, , , , , , , , , , , , , , , , , , , 
run_19_repetition_2,TODO,Claude,cpp,SR,EE, , , , , , , , , , , , , , , , , , , 
run_20_repetition_2,DONE,Claude,haskell,PS,OG,4791.835,39546.468,21094.091,5362.622,4.04,3.922,3.922,3.922,3.922,2.02,3.922,3.922,3.922,3.608,7.843,5.051,4773646336.0,201,"1250748
"
run_21_repetition_2,DONE,Claude,haskell,PS,EE,4795.912,39629.749,21163.605,5366.219,3.548,3.81,3.81,1.961,5.397,1.905,3.922,5.714,3.81,1.905,5.397,1.961,4791783424.0,201,"2116964
"
run_22_repetition_2,TODO,Claude,haskell,SR,OG, , , , , , , , , , , , , , , , , , , 
run_23_repetition_2,TODO,Claude,haskell,SR,EE, , , , , , , , , , , , , , , , , , , 
